source_file,method,beam,batch_mode,batch_size,model,n_puzzles,n_solved,success_rate,mean_elapsed_s,total_elapsed_s
cot_b5.jsonl,cot,5,batched,,gemini-3.1-flash-lite,100,84,84.0,2.06,205.8000000000001
cot_gemini25flashlite.jsonl,cot,1,batched,,gemini-2.5-flash-lite,100,25,25.0,1.48,147.56
cot_gemma3-27B.jsonl,cot,1,batched,,gemma-3-27b,100,32,32.0,26.18,2618.27
io_b5.jsonl,io,5,batched,,gemini-3.1-flash-lite,100,16,16.0,1.2,120.36999999999999
io_gemini25flashlite.jsonl,io,1,batched,,gemini-2.5-flash-lite,100,17,17.0,0.62,62.05
io_gemma3-27B.jsonl,io,1,batched,,gemma-3-27b,100,14,14.0,21.57,2156.83
tot_b1.jsonl,tot,1,batched,,gemini-3.1-flash-lite,100,65,65.0,85.44,8544.400000000001
tot_b1.rescored.jsonl,tot,1,batched,,gemini-3.1-flash-lite,100,65,65.0,85.44,8544.400000000001
tot_b1_gemini25_unbatched.jsonl,tot,1,unbatched,1,gemini-2.5-flash-lite,100,53,53.0,318.8,31880.16999999999
tot_b1_gemini25flashlite.jsonl,tot,1,batched,,gemini-2.5-flash-lite,100,11,11.0,71.13,7112.61
tot_b1_gemini25flashlite.rescored.jsonl,tot,1,batched,,gemini-2.5-flash-lite,100,11,11.0,71.13,7112.61
tot_b1_gemini31_unbatched.jsonl,tot,1,unbatched,1,gemini-3.1-flash-lite,100,83,83.0,304.97,30497.34
tot_b1_gemma3-27B.jsonl,tot,1,batched,,gemma-3-27b,100,9,9.0,646.41,64640.82000000002
tot_b1_gemma3-27B.rescored.jsonl,tot,1,batched,,gemma-3-27b,100,9,9.0,646.41,64640.82000000002
tot_b5.jsonl,tot,5,batched,,gemini-3.1-flash-lite,100,88,88.0,190.38,19038.140000000003
tot_b5.rescored.jsonl,tot,5,batched,,gemini-3.1-flash-lite,100,96,96.0,190.38,19038.140000000003
tot_b5_bs1.jsonl,tot,5,bs1,1,gemini-2.5-flash-lite,20,17,85.0,791.83,15836.67
tot_b5_bs16.jsonl,tot,5,bs16,16,gemini-2.5-flash-lite,20,5,25.0,97.29,1945.7700000000002
tot_b5_bs2.jsonl,tot,5,bs2,2,gemini-2.5-flash-lite,20,7,35.0,362.51,7250.16
tot_b5_bs4.jsonl,tot,5,bs4,4,gemini-2.5-flash-lite,20,3,15.0,174.4,3488.089999999999
tot_b5_bs40.jsonl,tot,5,bs40,40,gemini-2.5-flash-lite,20,0,0.0,72.81,1456.1399999999999
tot_b5_bs8.jsonl,tot,5,bs8,8,gemini-2.5-flash-lite,20,7,35.0,116.67,2333.37
tot_b5_gemini25_unbatched.jsonl,tot,5,unbatched,1,gemini-2.5-flash-lite,100,87,87.0,941.87,94186.60000000002
tot_b5_gemini25flashlite.jsonl,tot,5,batched,,gemini-2.5-flash-lite,100,15,15.0,147.12,14712.389999999998
tot_b5_gemini25flashlite.rescored.jsonl,tot,5,batched,,gemini-2.5-flash-lite,100,28,28.0,147.12,14712.389999999998
tot_b5_gemini31_unbatched.jsonl,tot,5,unbatched,1,gemini-3.1-flash-lite,100,96,96.0,987.78,98777.90999999999
tot_gemma3-27B.jsonl,tot,5,batched,,gemma-3-27b,100,14,14.0,743.48,74347.96000000002
tot_gemma3-27B.rescored.jsonl,tot,5,batched,,gemma-3-27b,100,33,33.0,743.48,74347.96000000002
